"indicator_name","profile","domain","indicator_definition","data_source","inclusion_rationale","diagnostic_code_position","numerator","denominator","type_definition","type_id","disclosure_control","supression","supress_less_than","rounding","age_group","sex","year_type","trends_from","aggregation","update_frequency","available_geographies","confidence_interval_method","notes_caveats","related_publications","supporting_information","last_updated","next_update","interpretation","interpret","source_details","scotpho_profiles","profile_domain1","profile_domain2","profile_domain3","label_inequality","pop_group_splits","profile_domain","scotpho_web_link"
"S2 pupils who smoke (SALSUS)","Tobacco","Population","Population of S2 smokers from SALSUS (only number, no measure available)","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Number","cnt","None","N",0,NA,NA,"All","Calendar year","2013","Single year","After SALSUS publication","Council area, Health board",NA,NA,NA,NA,"Jan-2015","Archived","Higher numbers are better","H","SALSUS",1,"POP-Population",NA,NA,NA,NA,"POP-Population;;",NA
"S4 boys conduct problems percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with conduct problems, defined as a score of 2 or more on the conduct problems scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Males","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 boys emotional and behavioural problems percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with emotional and behavioural problems, defined as a score of 2 or more for total difficulties in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Males","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 boys emotional symptoms percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with emotional symptoms, defined as a score of 2 or more on the emotional symptoms scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Males","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 boys hyperactive percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with hyperactivity or inattention symptoms, defined as a score of 2 or more on the hyperactivity scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Males","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 boys mean mental wellbeing score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Mean Score on The Warwick-Edinburgh Mental Well-being Scale (WEMWBS) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Mean","Mean","None","N",0,"None","Age 15 (S4)","Males","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are better","H","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 boys pro-social behaviour percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with symptoms of a lack of prosocial (helping others) behaviour, defined as a score of 2 or more on the prosocial scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Males","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 girls conduct problems percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with conduct problems, defined as a score of 2 or more on the conduct problems scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Females","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 girls emotional and behavioural problems percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with emotional and behavioural problems, defined as a score of 2 or more for total difficulties in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Females","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 girls emotional symptoms percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with emotional symptoms, defined as a score of 2 or more on the emotional symptoms scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Females","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 girls hyperactive percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with hyperactivity or inattention symptoms, defined as a score of 2 or more on the hyperactivity scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Females","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 girls mean mental wellbeing score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Mean Score on The Warwick-Edinburgh Mental Well-being Scale (WEMWBS) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Mean","Mean","None","N",0,"None","Age 15 (S4)","Females","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are better","H","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 girls pro-social behaviour percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 4 (aged c.15 years) Percentage with symptoms of a lack of prosocial (helping others) behaviour, defined as a score of 2 or more on the prosocial scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","Females","Survey year","2010-2013","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S4 pupils who smoke (SALSUS)","Tobacco","Population","Population of S4 smokers from SALSUS (only number no measure available)","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","All","Survey year","2010, 2013","Single year","After SALSUS publication","Council area, Health board",NA,NA,NA,NA,"Jan-2015","Archived","Higher numbers are better","H","SALSUS",1,"POP-Population",NA,NA,NA,NA,"POP-Population;;",NA
"School exclusion rate","Children & young people","Children & young people - Achieving","Cases of exclusion from primary and secondary school; number and crude rate per 1,000 pupils","Scottish Government, Education Department (SNS)",NA,"N/A","Total number of cases of exclusion from primary and secondary school","Total number of pupils","Crude rate per 1,000 pupils","cr","Values less than 5 are suppressed","Y",5,"None","School-aged children","All","School year","2009/10 to 2022/23","Single year","Every two years","Council area, Health board, Scotland","Wilson's Score method","From 2010/11 school exclusion data has been produced every two years, rather than annually. Cases of exclusion include both temporary and permanent exclusion. Data from primary and secondary state schools is included. Pupil numbers are from the pupil census.","[School exclusion statistics](https://www.gov.scot/publications/school-exclusion-statistics/)",NA,"May-2024","May-2026","Higher numbers are worse","L",NA,3,"CYP-Achieving","CMH-Structural determinants",NA,NA,NA,"CYP-Achieving;CMH-Structural determinants;",NA
